	record_number	catalogue_title	eng_host_item	courier_id	year	publication_date	pages	notes
4211	73879	Mass communications	The UNESCO Courier I, 10 p. 5 73867 eng	 73867 eng	1948	1948	[5]	
4212	50904	The Mass media: a two-edged sword, are the mass media doing more harm than good in dramatizing the drug question?	The UNESCO Courier: a window open on the world XXVI, 5 p. 12-15, illus. 74885 eng	 74885 eng	1973	1973	[12, 13, 14, 15]	
4213	44078	Mass media: the new Pied Piper	The UNESCO Courier: a window open on the world XXXII, 3 p. 10-12, illus. 74769 eng	 74769 eng	1979	1979	[10, 11, 12]	
4214	46573	The Mass media and society: a Soviet viewpoint	The UNESCO Courier: a window open on the world XXX, 4 p. 24-27, illus. 74810 eng	 74810 eng	1977	1977	[24, 25, 26, 27]	
4215	46579	The Mass media and society: an American viewpoint	The UNESCO Courier: a window open on the world XXX, 4 p. 28-31, illus. 74810 eng	 74810 eng	1977	1977	[28, 29, 30, 31]	
4216	73817	Mass Media Projects Division to dramatize world cooperation	The UNESCO Courier I, 7 p. 4 73809 eng	 73809 eng	1948	1948	[4]	
4217	73861	Mass schooling, technical training stressed by radio experts	The UNESCO Courier I, 9 p. 5 73850 eng	 73850 eng	1948	1948	[5]	
4218	73039	Mass to the sound of gunfire	The UNESCO Courier: a window open on the world XL, 4 p. 11, illus. 73068 eng	 73068 eng	1987	1987	[11]	From 'Magellan's voyage around the world' by Antonio Pigafetta
4219	44536	Mass tourism and cultural traditions	The UNESCO Courier: a window open on the world XXXIV, 2 p. 4-8, illus. 74735 eng	 74735 eng	1981	1981	[4, 5, 6, 7, 8]	
4220	86046	The Master-chronologers of Islam	The UNESCO Courier: a window open on the world XLIII, 3 p. 35-39, illus. 86052 eng	 86052 eng	1990	1990	[35, 36, 37, 38, 39]	
4221	61135	The Master-craft workers of Mexico	The UNESCO Courier: a window open on the world XXXVII, 7 p. 34, illus. 74684 eng	 74684 eng	1984	1984	[34]	
4222	102538	The Master puppeteer: Huang hai-Tai	The UNESCO courier: a window open on the world 49, 1 p. 48-49, illus 102540 eng	 102540 eng	1996	1996|Jan. 1996	[48, 49]	
4224	60676	Masterpieces of ancient Mexico	The UNESCO Courier: a window open on the world XVIII, 12 p. 31-35, illus. 78424 eng	 78424 eng	1965	1965	[31, 32, 33, 34, 35]	
4225	69024	Masterpieces you can now buy	The UNESCO Courier: a window open on the world VIII, 7 p. 21-26, illus. 69029 eng	 69029 eng	1955	1955	[21, 22, 23, 24, 25, 26]	Published in 3 editions
4226	116587	Masters in their own tepees	The UNESCO courier 52, 7 p. 30-31, illus. 116578 eng	 116578 eng	1999	1999|July - Aug. 1999	[30, 31]	
4228	370327	Climat et justice sociale	The UNESCO courier 3 pages 16-18, illustrations 370032 eng	 370032 eng	2019	2019|July-September 2019	[16, 17, 18]	
4229	81690	Matches	The UNESCO Courier: a window open on the world XLI, 10 p. 23, illus. 81712 eng	 81712 eng	1988	1988	[23]	Abridged article from 'China, land of discovery and invention' by Robert K.G. Temple, American science writer, based on 'Science and civilisation in China', Cambridge University Press, 1954- , the results of Joseph Needham's investigations and those of his colleagues at the Needham Research Institute, to be complete in 25 vols.
4230	189637	The Matenadaran: from copyist monks to the digital age	The UNESCO courier 5 p. 10-11, illus. 189454 eng	 189454 eng	2007	2007	[10, 11]	Electronic version only
4231	111119	A Materialist vision of the afterlife	The UNESCO courier: a window open on the world 51, 3 p. 25-28, illus. 111114 eng	 111114 eng	1998	1998|Mar. 1998	[25, 26, 27, 28]	
4233	95122	The Mathsticks of early China	The UNESCO Courier: a window open on the world XLVI, 11 p. 18-21, illus. 95141 eng	 95141 eng	1993	1993	[18, 19, 20, 21]	
4234	44667	The Matriarchs of Meroe; a powerful line of queens who ruled the Kushite Empire	The UNESCO Courier: a window open on the world XXXII, 8/9 p. 58-59, illus. 74777 eng	 74777 eng	1979	1979	[58, 59]	
4235	68420	Matta: a new way of looking at the world	The UNESCO Courier: a window open on the world XXXIX, 3 p. 28-29, illus. 68421 eng	 68421 eng	1986	1986	[28, 29]	
4236	104417	A Matter of choice	The UNESCO courier: a window open on the world 49, 9 p. 10-13, illus. 104497 eng	 104497 eng	1996	1996|Sept. 1996	[10, 11, 12, 13]	
4237	186068	A Matter of choice	The UNESCO courier Special issue p. 33-34, illus. 185958 eng	 185958 eng	2009	2009|Nov. 2009	[33, 34]	Reprinted from: The UNESCO Courier, vol. 49, no. 9, 1996
4238	191542	A Matter of commitment	The UNESCO courier Special issue, Mar. 2011 p. 3-4, illus. 191443 eng	 191443 eng	2011	2011|Mar. 2011	[3, 4]	
4239	192303	A Matter of commitment	The UNESCO courier 64, 2 p. 15-16, illus. 192261 eng	 192261 eng	2011	2011|Apr.-June 2011	[15, 16]	
4240	46682	A Matter of life and death: Aztec myths and Christian beliefs in Mexico	The UNESCO Courier: a window open on the world XXX, 8/9 p. 20-27, illus. 74814 eng	 74814 eng	1977	1977	[20, 21, 22, 23, 24, 25, 26, 27]	"Article taken from ""The Labyrinth of solitude"", Grove Press, New York, 1961."
4241	56312	Matushka'	The UNESCO Courier: a window open on the world XXXVI, 9 p. 32-33, illus. 74701 eng	 74701 eng	1983	1983	[32, 33]	
4242	102499	Maurice Béjart: a journey of initiation	The UNESCO courier: a window open on the world 49, 1 p. 4-7, illus. 102540 eng	 102540 eng	1996	1996|Jan. 1996	[4, 5, 6, 7]	
4243	102550	Mauritius: Paradise lost or Paradise regained?	The UNESCO courier: a window open on the world 49, 2 p. 43-45, illus. 102554 eng	 102554 eng	1996	1996|Feb. 1996	[43, 44, 45]	
4244	115611	May the betting man win...	The UNESCO courier 52, 4 p. 36, illus. 115591 eng	 115591 eng	1999	1999|Apr. 1999	[36]	
4245	133332	Mayan education, everybody's challenge	The New courier Special issue p. 28 133120 eng	 133120 eng	2004	2004|Jan. 2004	[28]	
4246	68952	The Mayans modernize	The UNESCO Courier: a window open on the world VIII, 2 p. 16-17, illus. 68956 eng	 68956 eng	1955	1955	[16, 17]	Published in 3 editions
4247	94904	Me and my shadow	The UNESCO Courier: a window open on the world XLVI, 7-8 p. 60-63, illus. 184071 eng	 184071 eng	1993	1993	[60, 61, 62, 63]	
4248	73108	The Meal is the message; the language of Brazilian cuisine	The UNESCO Courier: a window open on the world XL, 5 p. 22-23, illus. 73178 eng	 73178 eng	1987	1987	[22, 23]	
4249	95061	Meaningful gestures	The UNESCO Courier: a window open on the world XLVI, 9 p. 31-33, illus. 95092 eng	 95092 eng	1993	1993	[31, 32, 33]	
4250	88085	Measured moments	The UNESCO Courier: a window open on the world XLIV, 4 p. 16-19, illus. 88099 eng	 88099 eng	1991	1991	[16, 17, 18, 19]	
4251	81704	The Mechanical clock	The UNESCO Courier: a window open on the world XLI, 10 p. 26-27, illus. 81712 eng	 81712 eng	1988	1988	[26, 27]	Abridged article from 'China, land of discovery and invention' by Robert K.G. Temple, American science writer, based on 'Science and civilisation in China', Cambridge University Press, 1954- , by Joseph Needham and those of his colleagues at the Needham Research Institute, to be complete in 25 vols.
4252	99678	The Media: a modern scapegoat?	The UNESCO courier: a window open on the world XLVIII, 2 p. 15, illus. 99696 eng	 99696 eng	1995	1995	[15]	
4255	86682	Media empires: a necessary evil?	The UNESCO Courier: a window open on the world XLIII, 9 p. 38-42, illus. 86687 eng	 86687 eng	1990	1990	[38, 39, 40, 41, 42]	
4256	54636	The Media in the classroom	The UNESCO Courier: a window open on the world XXXVI, 5 p. 30-33, illus. 74692 eng	 74692 eng	1983	1983	[30, 31, 32, 33]	
4258	150230	Media revolution in Cape Verde	The UNESCO courier 1 p. 7-8, map 150227 eng	 150227 eng	2007	2007|Jan. 2007	[7, 8]	Electronic version only
4259	119494	Media self-control: the South's new option	The UNESCO courier 53, 4 p. 43-45, illus. 119473 eng	 119473 eng	2000	2000|Apr. 2000	[43, 44, 45]	
4261	152073	Media under attack	The UNESCO courier 4 p. 3-4, illus. 152042 eng	 152042 eng	2007	2007|2007	[3, 4]	Electronic version only
4262	111118	Mediaeval Europe: the antechamber of eternity	The UNESCO courier: a window open on the world 51, 3 p. 19-24, illus. 111114 eng	 111114 eng	1998	1998|Mar. 1998	[19, 20, 21, 22, 23, 24]	
4263	58815	Medical experiments on man; round-table on the doctor's dilemma	The UNESCO Courier: a window open on the world XXI, 3 p. 20-28, illus. 58803 eng	 58803 eng	1968	1968	[20, 21, 22, 23, 24, 25, 26, 27, 28]	
4264	63560	Medical research today	The UNESCO Courier: a window open on the world XV, 4 p. 17-20, illus. 78187 eng	 78187 eng	1962	1962	[17, 18, 19, 20]	
4265	64919	The Medical revolution in the field of nutrition	The UNESCO Courier: a window open on the world XII, 2 p. 14-15, illus. 64933 eng	 64933 eng	1959	1959	[14, 15]	Published in 4 editions
4266	44602	A Medical thesaurus from the roof of the world	The UNESCO Courier: a window open on the world XXXII, 7 p. 20-25, illus. 74776 eng	 74776 eng	1979	1979	[20, 21, 22, 23, 24, 25]	
4267	44528	Medicinal plants make a comeback	The UNESCO Courier: a window open on the world XXXII, 7 p. 6-8, illus. 74776 eng	 74776 eng	1979	1979	[6, 7, 8]	
4270	44530	Medicine's 'green revolution'	The UNESCO Courier: a window open on the world XXXII, 7 p. 8-13, 16, illus. 74776 eng	 74776 eng	1979	1979	[8, 9, 10, 11, 12, 13]	
4272	117053	Medicine's last frontier	The UNESCO courier 52, 9 p. 26-27, illus. 117043 eng	 117043 eng	1999	1999|Sept. 1999	[26, 27]	
4273	104406	The Medina of Fez: crafting a future for the past	The UNESCO courier: a window open on the world 49, 10 p. 36-39, illus. 104412 eng	 104412 eng	1996	1996|Oct. 1996	[36, 37, 38, 39]	
4274	76551	The Mediterranean, an underwater museum	The UNESCO Courier: a window open on the world XL, 11 p. 8-10, illus., map 76565 eng	 76565 eng	1987	1987	[8, 9, 10]	
4275	50618	Mediterranean: danger! Oil pollution	The UNESCO Courier: a window open on the world XXVI, 1 p. 16-17, 32, illus. 74879 eng	 74879 eng	1973	1973	[16, 17]	
4276	67800	The Mediterranean: land, sea, history	The UNESCO Courier: a window open on the world XXXVIII, 12 p. 4-12, illus. 67988 eng	 67988 eng	1985	1985	[4, 5, 6, 7, 8, 9, 10, 11, 12]	Article extracted from 'La Méditerranée: l'espace et l'histoire', Paris: Flammarion, 1985
4278	66260	Meet the women of Ghana	The UNESCO Courier: a window open on the world XI, 7 p. 32 66244 eng	 66244 eng	1958	1958	[32]	Published in 4 editions
4280	47535	Meeting the energy challenge	The UNESCO Courier: a window open on the world XXXIV, 7 p. 4-5, illus. 74744 eng	 74744 eng	1981	1981	[4, 5]	
4281	44814	Meiji Japan: a case study in industrialization	The UNESCO Courier: a window open on the world XXXII, 11 p. 31-33, illus. 74780 eng	 74780 eng	1979	1979	[31, 32, 33]	
4282	142062	The Mekong: an exception to the rule	The New courier p. 56-57, illus. 142021 eng	 142021 eng	2005	2005|Nov. 2005	[56, 57]	
4283	70010	Melanesia; 'black islands' of the Pacific 'Milky Way'	The UNESCO Courier: a window open on the world VII, 8/9 p. 25-31, illus. 70030 eng	 70030 eng	1954	1954	[25, 26, 27, 28, 29, 30, 31]	Published in 3 editions
4284	117438	The Melting pot of modern dance	The UNESCO courier 52, 10 p. 40-42, illus. 117419 eng	 117419 eng	1999	1999|Oct. 1999	[40, 41, 42]	
4285	56308	Memoirs of Europe's mainstream	The UNESCO Courier: a window open on the world XXXVI, 9 p. 16-18, illus. 74701 eng	 74701 eng	1983	1983	[16, 17, 18]	
4286	189792	Memories of broken dreams and intact hopes	The UNESCO courier 9 p. 8, 10, illus. 189770 eng	 189770 eng	2009	2009|2009	[8]	Electronic version only
4289	86040	Memory and time	The UNESCO Courier: a window open on the world XLIII, 3 p. 12-15, illus. 86052 eng	 86052 eng	1990	1990	[12, 13, 14, 15]	
4290	87210	Memory lane	The UNESCO Courier: a window open on the world XLIII, 10 p. 16-21, illus. 87206 eng	 87206 eng	1990	1990	[16, 17, 18, 19, 20, 21]	
4291	62735	The Memory of mankind	The UNESCO Courier: a window open on the world XXXVIII, 2 p. 4 62882 eng	 62882 eng	1985	1985	[4]	
4294	130043	Memory of the world, the key to diversity	The New courier 2 p. 28-31, illus. 130036 eng	 130036 eng	2003	2003|Apr. 2003	[28, 29, 30, 31]	
4295	61051	Men, women: new letters of credit	The UNESCO Courier: a window open on the world XXI, 11 p. 30-31 59301 eng	 59301 eng	1968	1968	[30, 31]	
4296	81298	Men against the desert	The UNESCO Courier III, 3 p. 8, illus. 81286 eng	 81286 eng	1950	1950	[8]	Published in 3 editions|Reprints of 3 stories in the 'Men against the desert' series, reporting on what is being done to reclaim the wastelands of Tunisia
4297	74271	Men against the desert: a new Sahara 'garrison'; the desert scientists	The UNESCO Courier III, 2 p. 6-7 74977 eng	 74977 eng	1950	1950|Mar. 1950	[6, 7]	Reprint of the first three stories in the series 'Men against the desert', which will be distributed to newspapers throughout the world by UNESCO; results of Mr. Calder's studies will be widely used in school courses in the UK dealing with history, scripture, economics, geography and current affairs
4298	81380	Men against the desert; postscript to a mission	The UNESCO Courier III, 4 p. 8, illus. 81370 eng	 81370 eng	1950	1950|May 1950	[8]	Published in 3 editions
4299	58740	Men die earlier than women; considerations of a Soviet demographer	The UNESCO Courier: a window open on the world XXII, 11 p. 28-30, illus. 58738 eng	 58738 eng	1969	1969	[28, 29, 30]	
4300	65940	Men for all seasons: North America	The UNESCO Courier: a window open on the world XXXVIII, 9 p. 24-25, illus. 66617 eng	 66617 eng	1985	1985	[24, 25]	
4301	67205	Men in long black robes: they mass-produced books long before printing presses	The UNESCO Courier: a window open on the world X, 2 p. 27-28, 30, illus. 67211 eng	 67211 eng	1957	1957	[27, 28]	Published in 4 editions
4302	102876	Men of few words: interview with Christophe Wondji	The UNESCO courier: a window open on the world 49, 5 p. 10-13, illus. 102874 eng	 102874 eng	1996	1996|May 1996	[10, 11, 12, 13]	
4303	98968	Men of little faith	The UNESCO courier: a window open on the world XLVIII, 1 p. 47-48, illus. 98936 eng	 98936 eng	1995	1995	[47, 48]	
4304	63890	Men of the land	The UNESCO Courier: a window open on the world XIV, 6 p. 36-40, illus. 64074 eng	 64074 eng	1961	1961	[36, 37, 38, 39, 40]	Published in 8 editions.|Special issue
4305	101185	Men supporting women	The UNESCO courier: a window open on the world XLVIII, 9 p. 30-31, illus. 101119 eng	 101119 eng	1995	1995	[30, 31]	
4306	74313	Men who fight for world's right to health	The UNESCO Courier III, 3 p. 9, illus. 81286 eng	 81286 eng	1950	1950|Apr. 1950	[9]	Published in 3 editions
4307	19208	The Menace of 'extinct' volcanoes	The UNESCO Courier: a window open on the world XX, 10 p. 4-13, illus. 78370 eng	 78370 eng	1967	1967	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	"Text taken from a study published in ""Impact of science on society"", No. 2, 1967."
4308	62540	The Menace of desert advance	The UNESCO Courier: a window open on the world XXXVIII, 1 p. 12-13, illus. 62603 eng	 62603 eng	1985	1985	[12, 13]	"Article based on a longer study published in ""Nature and resources"", Vol. XX, No. 1, Jan.-Mar. 1984."
4309	58447	The Menace of extinct volcanoes	The UNESCO Courier: a window open on the world XXII, 8/9 p. 9, illus. 78246 eng	 78246 eng	1969	1969	[9]	"Special Anthology Number containing abridged versions of selected articles published in the ""Courier"" over the last two decades."
4310	69102	The Menace of extinct volcanoes	The UNESCO Courier: a window open on the world XXXIX, 5/6 p. 17, illus. 69416 eng	 69416 eng	1986	1986	[17]	UNESCO 40th anniversary issue; a selection of articles in abridged form
4312	29927	The Menace of the bulldozers	The UNESCO Courier: a window open on the world XVIII, 1 p. 33-36, illus. 78451 eng	 78451 eng	1965	1965	[33, 34, 35, 36]	Article based on a preliminary UNESCO study discussed at the 13th session of the General Conference.
4313	122763	The Mending hands of youthful elders	The UNESCO courier 54, 6 p. 34-35, illus. 122747 eng	 122747 eng	2001	2001|June 2001	[34, 35]	
4314	65242	Mental health: facts and figures	The UNESCO Courier: a window open on the world XII, 5 p. 20-21 78166 eng	 78166 eng	1959	1959	[20, 21]	Published in 4 editions
4315	62795	The Mental strains of Antarctic solitude	The UNESCO Courier: a window open on the world XVI, 6 p. 26-30, illus. 78200 eng	 78200 eng	1963	1963	[26, 27, 28, 29, 30]	
4316	98021	Mercator, cartographer of genius	The UNESCO courier: a window open on the world XLVII, 9 p. 39, illus. 98006 eng	 98006 eng	1994	1994	[39]	
4317	104864	The Merchants of Venice	The UNESCO courier: a window open on the world 49, 11 p. 17-18, illus. 104902 eng	 104902 eng	1996	1996|Nov. 1996	[17, 18]	
4318	133189	The Merits of useless science	The New courier Special issue p. 21-22, illus. 133120 eng	 133120 eng	2004	2004|Jan. 2004	[21, 22]	
4319	82431	The Mermaid of the Dniester	The UNESCO Courier: a window open on the world XLII, 3 p. 23, illus. 184070 eng	 184070 eng	1989	1989	[23]	
4320	69838	Message (from) Paul E. Magloire, President of the Republic of Haiti	The UNESCO courier VII, 2 p. 4, illus. 78141 eng	 78141 eng	1954	1954	[4]	Published in 3 editions
4321	64308	A Message from the Director-General of UNESCO	The UNESCO Courier: a window open on the world XIII, 2 p. 3 64522 eng	 64522 eng	1960	1960	[3]	Published in 4 editions
4322	46396	The Message of Islam; at the dawn of the fifteenth century of the Hegira	The UNESCO Courier: a window open on the world XXXIV, 8/9 p. 5 74748 eng	 74748 eng	1981	1981|Aug. - Sept. 1981	[5]	
4324	52944	A Message to our 3.5 billion neighbours on planet earth from 2,200 environmental scientists	The UNESCO Courier: a window open on the world XXIV, 7 p. 4-5 78269 eng	 78269 eng	1971	1971	[4, 5]	
4325	62508	A Message to world youth	The UNESCO Courier: a window open on the world XXXVIII, 1 p. 2 62603 eng	 62603 eng	1985	1985	[2]	
4326	69088	A Message to world youth	The UNESCO Courier: a window open on the world XXXIX, 5/6 p. 2 69416 eng	 69416 eng	1986	1986	[2]	UNESCO 40th anniversary issue; a selection of articles in abridged form
4327	186003	Messages from Islam	The UNESCO courier 8 p. 23-24, illus. 185864 eng	 185864 eng	2009	2009|2009	[23, 24]	
4328	66288	Messages from space with solar batteries	The UNESCO Courier: a window open on the world XI, 9 p. 17, illus. 66285 eng	 66285 eng	1958	1958	[17]	Published in 4 editions
4329	9902	Messages to the stars	The UNESCO Courier: a window open on the world XIX, 1 p. 4-7, 10, illus. 14256 eng	 14256 eng	1966	1966	[4, 5, 6, 7]	Text of an address delivered at the meeting of the British Association for the Advancement of Science, Southampton, UK, 1965.
4330	46398	The Messenger of God	The UNESCO Courier: a window open on the world XXXIV, 8/9 p. 6, 9-10, illus. 74748 eng	 74748 eng	1981	1981|Aug. - Sept. 1981	[6]	
4331	100241	Messengers of light: Chinese Buddhist pilgrims in India	The UNESCO courier: a window open on the world XLVIII, 5 p. 24-27, illus. 100259 eng	 100259 eng	1995	1995	[24, 25, 26, 27]	
4332	43031	The Metamorphosis of a bull	The UNESCO Courier: a window open on the world XXXIII, 12 p. 32-33, illus. 74766 eng	 74766 eng	1980	1980	[32, 33]	From 'Picasso lithographs', by Fernand Mourlot, Editions André Sauret, 1970, Monaco
4333	63246	The Metamorphosis of Cairo	The UNESCO Courier: a window open on the world XXXVIII, 3 p. 20-21, illus. 63438 eng	 63438 eng	1985	1985	[20, 21]	"Article based on a keynote address to a seminar entitled ""The Expanding Metropolis: Coping with the Urban Growth of Cairo"", Cairo, 11-15 Apr. 1984, sponsored by the Aga Khan Award for Architecture."
4334	95770	Metaphors should be made at home	The UNESCO Courier: a window open on the world XLVI, 12 p. 13-14, illus. 95767 eng	 95767 eng	1993	1993	[13, 14]	
4335	68977	The Meteora; rock pinnacles 'hung in the air'	The UNESCO Courier: a window open on the world VIII, 5 p. 4-8, illus. 68988 eng	 68988 eng	1955	1955	[4, 5, 6, 7, 8]	Published in 3 editions
4336	67630	Meteorology in the atomic age	The UNESCO Courier: a window open on the world X, 7 p. 16-17, illus. 78347 eng	 78347 eng	1957	1957	[16, 17]	Published in 4 editions
4337	67933	Meteors: tiny wanderers through space	The UNESCO Courier: a window open on the world X, 9 p. 28-29, illus. 68057 eng	 68057 eng	1957	1957	[28, 29]	Published in 4 editions|Special issue|Article based on a special report prepared for the 'UNESCO Courier' by Dr. V.V. Fedynsky, a member of the USSR National Committee for the I.G.Y.
4338	100551	Methuselah or Peter Pan?	The UNESCO courier: a window open on the world XLVIII, 7/8 p. 21-25, illus. 100576 eng	 100576 eng	1995	1995	[21, 22, 23, 24, 25]	
4339	74242	Mexican education centre will serve a continent	The UNESCO Courier III, 1 p. 3 74968 eng	 74968 eng	1950	1950|Feb. 1950	[3]	
4340	100565	Mexican melodrama: the remake	The UNESCO courier: a window open on the world XLVIII, 7/8 p. 56-59, illus. 100576 eng	 100576 eng	1995	1995	[56, 57, 58, 59]	
4341	44609	Mexican plants and human fertility	The UNESCO Courier: a window open on the world XXXII, 7 p. 33-34, illus. 74776 eng	 74776 eng	1979	1979	[33, 34]	
4342	73700	Mexico: Commission stresses UNESCO's education work	The UNESCO Courier I, 2 p. 5 73683 eng	 73683 eng	1948	1948	[5]	
4343	85571	Mexico: history or destiny?	The UNESCO Courier: a window open on the world XLIII, 4 p. 29-31, illus. 85577 eng	 85577 eng	1990	1990	[29, 30, 31]	
4344	96926	Mexico: local loyalties; a hidden asset	The UNESCO courier: a window open on the world XLVII, 4 p. 23-26, illus. 96934 eng	 96934 eng	1994	1994	[23, 24, 25, 26]	
4345	114983	Mexico: the sweet smell of success	The UNESCO courier 52, 2 p. 27, illus. 114969 eng	 114969 eng	1999	1999|Feb. 1999	[27]	
4346	72391	"Mexico's ""schools without walls"" teach the lesson of self-help"	The UNESCO Courier IV, 1/2 p. 16, illus 71298 eng	 71298 eng	1951	1951|Feb. 1951	[16]	Published in 3 editions
4347	123052	Mexico's mercenary legacy	The UNESCO courier 54, 7 p. 67-68, illus. 123057 eng	 123057 eng	2001	2001|July - Aug. 2001	[67, 68]	
4348	145823	Mexico y la educación de base: el ensayo piloto de Nayarit	El Correo de la UNESCO I, 8 p. 8 73829 spa		1948	1948|Sept. 1948	[8]	
4349	118507	Michael Walzer: a user's guide to democracy	The UNESCO courier 53, 1 p. 46-50, illus. 118482 eng	 118482 eng	2000	2000|Jan. 2000	[46, 47, 48, 49, 50]	
4350	158591	Michal Govrin: the curse of wandering	The UNESCO courier 2 p. 10-12, illus. 158580 eng	 158580 eng	2008	2008|2008	[10, 11, 12]	Electronic version only
4351	193899	Michel Onfray: a philosopher of the Enlightenment	The UNESCO courier 9 p. 6-7, illus. 192178 eng	 192178 eng	2007	2007|2007	[6, 7]	Electronic version only
4352	95768	Michel Serres talks to François-Bernard Huyghe	The UNESCO Courier: a window open on the world XLVI, 12 p. 4-7, photos 95767 eng	 95767 eng	1993	1993	[4, 5, 6, 7]	
4353	94891	Micro-mega	The UNESCO Courier: a window open on the world XLVI, 7-8 p. 16-17, illus. 184071 eng	 184071 eng	1993	1993	[16, 17]	
4354	49693	Microbius, crackerjack of all trades; versatile handyman, doctor, gardener, cook, wine grower, cheese maker and family planner	The UNESCO Courier: a window open on the world XXVIII, 7 p. 21-23, illus. 74842 eng	 74842 eng	1975	1975	[21, 22, 23]	
4356	104986	Microfinance in Indonesia	The UNESCO courier: a window open on the world 50, 1 p. 24-27, illus. 105001 eng	 105001 eng	1997	1997|Jan. 1997	[24, 25, 26, 27]	
4357	63853	Microphotography reveals the invisible world	The UNESCO Courier: a window open on the world XIV, 5 p. 20-27, illus. 63847 eng	 63847 eng	1961	1961	[20, 21, 22, 23, 24, 25, 26, 27]	
4358	83190	Microwaves that save manuscripts	The UNESCO Courier: a window open on the world XLII, 5 p. 9, illus. 83206 eng	 83206 eng	1989	1989	[9]	
4359	118506	Middle East: media pluralism via satellite	The UNESCO courier 53, 1 p. 43-45, illus. 118482 eng	 118482 eng	2000	2000|Jan. 2000	[43, 44, 45]	
4360	83388	The Middle East and North Africa: the future of the family	The UNESCO Courier: a window open on the world XLII, 7 p. 25 83386 eng	 83386 eng	1989	1989	[25]	
4361	73871	Middle East Cultural Liaison Office proposed	The UNESCO Courier I, 10 p. 2 73867 eng	 73867 eng	1948	1948	[2]	
4363	90832	Migrant Africa	The UNESCO courier: a window open on the world XLV, 1 p. 36-39, illus. 90835 eng	 90835 eng	1992	1992	[36, 37, 38, 39]	
4364	65864	Migrant workers: a world phenomenon	The UNESCO Courier: a window open on the world XXXVIII, 9 p. 4-7, illus., map 66617 eng	 66617 eng	1985	1985	[4, 5, 6, 7]	Article extracted from a UN study prepared in connexion with the International Conference on Population, Mexico City, 1984
4366	68985	Migrating mammoths; scientists play tag with Antarctic whales	The UNESCO Courier: a window open on the world VIII, 5 p. 21-22, illus. 68988 eng	 68988 eng	1955	1955	[21, 22]	Published in 3 editions
4367	95133	Miguel de Unamuno on the future of culture	The UNESCO Courier: a window open on the world XLVI, 11 p. 42-43, illus. 95141 eng	 95141 eng	1993	1993	[42, 43]	
4368	82427	Mihai Eminescu, Romania's national poet	The UNESCO Courier: a window open on the world XLII, 3 p. 11, port. 184070 eng	 184070 eng	1989	1989	[11]	
4369	92003	Mikis Theodorakis describes a Greek childhood (interview)	The UNESCO courier: a window open on the world XLV, 7-8 p. 4-8, illus., port. 92021 eng	 92021 eng	1992	1992	[4, 5, 6, 7, 8]	
4370	45935	Milestones: from birth to 3 years, from 3 to 6 years	The UNESCO Courier: a window open on the world XXXI, 5 p. 6-7, illus. 74803 eng	 74803 eng	1978	1978	[6, 7]	
4371	79712	Milestones on the road to freedom	The UNESCO Courier: a window open on the world XLI, 6 p. 38 79702 eng	 79702 eng	1988	1988	[38]	
4372	54633	Milestones to the learning society	The UNESCO Courier: a window open on the world XXXVI, 5 p. 13-19, illus. 74692 eng	 74692 eng	1983	1983	[13, 14, 15, 16, 17, 18, 19]	
4373	49655	Milestones towards emancipation	The UNESCO Courier: a window open on the world XXVIII, 3 p. 8-9, illus. 74836 eng	 74836 eng	1975	1975	[8, 9]	
4374	6357	Military credits freed for knowledge; historic decision by Iran	The UNESCO Courier: a window open on the world XIX, 7/8 p. 44-45, illus. 33144 eng	 33144 eng	1966	1966	[44, 45]	
4375	44168	The Military establishment	The UNESCO Courier: a window open on the world XXXII, 4 p. 29-30, illus. 74770 eng	 74770 eng	1979	1979	[29, 30]	
4376	48186	Military expenditures; in 1980, 110 dollars for every man, woman and child on earth	The UNESCO Courier: a window open on the world XXXV, 3 p. 23-25, illus. 74713 eng	 74713 eng	1982	1982	[23, 24, 25]	
4377	48180	Military industrial production; a hundred billion dollar bill	The UNESCO Courier: a window open on the world XXXV, 3 p. 14-15, illus. 74713 eng	 74713 eng	1982	1982	[14, 15]	
4378	117046	Millennium bugs with a deadly bite	The UNESCO courier 52, 9 p. 10-13, illus. 117043 eng	 117043 eng	1999	1999|Sept. 1999	[10, 11, 12, 13]	
4379	82163	The Millennium celebrations: the Christianization of Kievan Russia	The UNESCO Courier: a window open on the world XLII, 1 p. 34, illus. 82165 eng	 82165 eng	1989	1989	[34]	Report on the highlights of the 1988 anniversary celebration events for the 'UNESCO Courier' by Monsignor Juvenaly, Metropolitan of Krutits and Kolomna
4380	74660	Millions of women have still to win equality	The UNESCO Courier IV, 12 p. 7, illus. 74673 eng	 74673 eng	1951	1951	[7]	Published in 3 editions
4382	44792	The Minaret of Jam: a UNESCO project to restore an historic Afghan monument	The UNESCO Courier: a window open on the world XXXII, 10 p. 32-34, illus. 74778 eng	 74778 eng	1979	1979	[32, 33, 34]	
4383	58956	Mind-altering drugs: a scientific appraisal	The UNESCO Courier: a window open on the world XXI, 5 p. 13-17, illus. 58953 eng	 58953 eng	1968	1968	[13, 14, 15, 16, 17]	
